"name","weg","age_of_death","smoothie"
"Drax 51695","Chrzan",58,"TRUE"
"Elvis Presley 157108","Taro",91,"TRUE"
"Black Panther 155116","Ziemniak",71,"TRUE"
"Helena 99709","Papryka zielona",50,"FALSE"
"Madonna 41178","Sałata",75,"FALSE"
"Captain America 165871","Sałata",75,"TRUE"
"Skeeter Valentine 23525","Pomidor",78,"TRUE"
"SpongeBob SquarePants 124285","Szczypiorek",81,"FALSE"
"Xavier 35671","Fasola gołębia",52,"FALSE"
"Robin Hood 34304","Kalafior",98,"FALSE"
"Tommy Pickles 138788","Mâche",88,"TRUE"
"Patrick Star 96911","Fasola Lima",77,"FALSE"
"Franklin Richards 131229","Rzodkiew daikon",42,"FALSE"
"Professor X 131274","Fasolka szparagowa",49,"FALSE"
"Apocalypse 19881","Pasternak",52,"TRUE"
"Robert Lewandowski 123758","Seler korzeniowy",68,"FALSE"
"Mufasa 44782","Cukier trzcinowy",89,"FALSE"
"Harry Potter 184442","Kiełki fasoli",65,"TRUE"
"Adam Mickiewicz 109319","Bataty",74,"TRUE"
"Magenta 137129","Fasolka szparagowa",87,"TRUE"
"Yoda 65078","Trawa cytrynowa",72,"FALSE"
"James Bond 50241","Rzepak",72,"FALSE"
"Wasp 55399","Rzepak",91,"TRUE"
"The Thing 49637","Pietruszka",103,"TRUE"
"Marilyn Monroe 24136","Endywia belgijska",79,"FALSE"
"Helena 167510","Marchew",83,"FALSE"
"Colossus 111368","Cebula",79,"TRUE"
"Sandy Cheeks 124405","Trawa cytrynowa",75,"TRUE"
"Winter Soldier 123009","Orzech wodny",85,"TRUE"
"Bruce Lee 81914","Kard",82,"FALSE"
"Omega Red 76819","Brokuł",81,"FALSE"
"Lady Deathstrike 170962","Cukier trzcinowy",60,"FALSE"
"Oliver Hardy 47233","Bazylia tajska",68,"TRUE"
"Zeus 195749","Korzeń lotosu",91,"TRUE"
"Ultron 194518","Cebula",63,"TRUE"
"Mickey Mouse 178801","Pietruszka",78,"TRUE"
"Snoop Dogg 28682","Szpinak",106,"FALSE"
"Angelica Pickles 61839","Lufa",61,"FALSE"
"Sven 29367","Papryka zielona",79,"FALSE"
"Luke Skywalker 198364","Jicama",55,"TRUE"
"Invisible Woman 57318","Kalarepa",84,"FALSE"
"C-3PO 161816","Sól morska",70,"FALSE"
"Gandalf 57379","Chińska kapusta",65,"FALSE"
"SpongeBob SquarePants 19590","Kukurydza",72,"FALSE"
"Twjózek 43880","Kalafior",75,"FALSE"
"Sandy Cheeks 179491","Ogórek melona",65,"TRUE"
"The Vision 85032","Korzeń taro",75,"TRUE"
"Lara Croft 109574","Żółta cukinia",78,"TRUE"
"Dr Watson 121412","Pędy groszku",88,"FALSE"
"Nick Fury 24143","Rzodkiew",80,"FALSE"
"Marta Żmuda-Trzebiatowska 51724","Liście mniszka",67,"FALSE"
"Apocalypse 88649","Papryka",67,"TRUE"
"Xavier 100546","Fasola mung",91,"FALSE"
"Darth Vader 51164","Papryka żółta",57,"TRUE"
"Scarlet Witch 10984","Seler korzeniowy",81,"FALSE"
"Johnny Depp 196610","Radicchio",74,"TRUE"
"Gamora 59813","Radicchio",77,"TRUE"
"Leia Organa 121991","Pietruszka",67,"FALSE"
"Dipsy 4053","Pietruszka",62,"TRUE"
"Mufasa 58486","Ogórek melona",103,"TRUE"
"Marilyn Monroe 126826","Chayote",79,"FALSE"
"Asterix 120265","Koper",89,"FALSE"
"Thanos 152891","Dynia kabocha",52,"TRUE"
"Twjózek 135591","Grzyb",60,"TRUE"
"Mr. Krabs 60845","Kapusta",73,"FALSE"
"Dipsy 26854","Fasola Lima",51,"TRUE"
"Czerwony Kapturek 187679","Rzodkiew daikon",68,"FALSE"
"James Bond 157202","Pędy bambusa",47,"FALSE"
"Tinky Winky 91584","Sorrel",54,"TRUE"
"Kuba Wojewódzki 92397","Cebula",78,"TRUE"
"Moana 170739","Melon",73,"TRUE"
"Iron Fist 17940","Cukinia",82,"FALSE"
"Mr. Fantastic 49214","Papryczka chili",79,"TRUE"
"Apocalypse 165812","Fenkuł",44,"TRUE"
"Omega Red 78018","Sałata",44,"FALSE"
"Król Julian 60126","Papryka",64,"TRUE"
"Magenta 56190","Pędy bambusa",62,"FALSE"
"Tinky Winky 2999","Sałata",67,"FALSE"
"Tinky Winky 67400","Jarmuż",69,"FALSE"
"The Vision 139775","Wodna cress",75,"FALSE"
"Lara Croft 122978","Portulaka",70,"FALSE"
"Darth Vader 126052","Pietruszka",60,"TRUE"
"Falcon 9056","Fenkuł",87,"TRUE"
"Kermit the Frog 183980","Fasola zwykła",77,"FALSE"
"Star-Lord 68286","Pasternak",74,"FALSE"
"Doug Funnie 114110","Sól morska",70,"FALSE"
"Olaf 1344","Ogórek melona",91,"FALSE"
"Mr. Fantastic 101733","Czosnek",73,"FALSE"
"Juliusz Słowacki 82929","Ziemniak",92,"TRUE"
"Anna 181305","Groch cukrowy",96,"TRUE"
"Psylocke 23326","Mâche",69,"FALSE"
"Rocket Raccoon 161019","Rzodkiew",100,"TRUE"
"Lady Deathstrike 171752","Pędy bambusa",55,"TRUE"
"Stan Laurel 131344","Fasola Lima",69,"FALSE"
"Asterix 21597","Pędy bambusa",51,"TRUE"
"Maria 145839","Pomidor",70,"FALSE"
"Deadpool 189080","Kapusta",89,"TRUE"
"Doug Funnie 121972","Endywia",72,"FALSE"
"Jar Jar Binks 34139","Zucchini",78,"TRUE"
"Batman 41841","Grzyb",84,"FALSE"
"Darth Vader 19273","Por",70,"FALSE"
"Simba 49138","Rukola",75,"TRUE"
"Madonna 167135","Rukiew wodna",97,"TRUE"
"Jim Morrison 94236","Fasola zwykła",76,"FALSE"
"Vision 89005","Kalafior",90,"FALSE"
"Ghost Rider 188004","Chińska kapusta",79,"TRUE"
"Spiderman 184226","Szczypiorek",91,"TRUE"
"Jasmine 11885","Fasola adzuki",79,"TRUE"
"Ariel 184881","Fasola gołębia",86,"TRUE"
"Dipsy 150441","Papryka",100,"TRUE"
"Struś Pędziwiatr 44278","Rukiew wodna",75,"TRUE"
"Elsa 106756","Żółta cukinia",70,"FALSE"
"Beast 172892","Groch czarnooki",68,"TRUE"
"Bugs Bunny 187605","Koper włoski",57,"TRUE"
"Rapunzel 109330","Arbuz",82,"TRUE"
"Daredevil 10675","Papryka żółta",38,"FALSE"
"Ghost Rider 40831","Ogórek melona",82,"TRUE"
"Moana 52670","Kiełki fasoli",42,"FALSE"
"Koziołek Matołek 1483","Grzyb",69,"FALSE"
"Myszka Miki 59356","Fenkuł",81,"FALSE"
"Goofy 16639","Fasola haricot vert",92,"TRUE"
"Sherlock Holmes 75289","Cebula",69,"TRUE"
"Po 130774","Kolendra",86,"TRUE"
"Robert Lewandowski 10097","Kard",98,"TRUE"
"Indiana Jones 88750","Koper włoski",82,"FALSE"
"Shuri 52129","Koper włoski",81,"TRUE"
"Omega Red 118870","Mâche",83,"FALSE"
"Shrek 49609","Szparagi",73,"TRUE"
"Robin Hood 142066","Imbir",50,"FALSE"
"Beast 166276","Fasola Lima",95,"TRUE"
"Hulk 120135","Fasola gołębia",96,"TRUE"
"Diego 27361","Taro",70,"FALSE"
"Czerwony Kapturek 146264","Rzodkiew daikon",67,"FALSE"
"Lady Deathstrike 70028","Karczoch",85,"TRUE"
"The Thing 166166","Pasternak",61,"FALSE"
"Invisible Woman 150382","Papryka zielona",73,"TRUE"
"Boots 172141","Fasola żuraw",74,"FALSE"
"Król Julian 36585","Grzyb",75,"FALSE"
"Robin Hood 128645","Pasternak",74,"TRUE"
"Gollum 92889","Rzepak",83,"TRUE"
"Babcia Ela 101391","Portulaka",86,"FALSE"
"Shuri 116380","Brzoskwinia",75,"TRUE"
"Baron Zemo 82746","Kapusta",55,"TRUE"
"Cyclops 34127","Chińska kapusta",73,"TRUE"
"Adam Mickiewicz 93259","Pędy bambusa",84,"TRUE"
"Papa Smerf 86034","Słodka kukurydza",106,"FALSE"
"Zeus 38429","Cebula",56,"FALSE"
"Jasmine 74660","Groch czarnooki",82,"TRUE"
"Professor X 34806","Cress",70,"FALSE"
"Scar 30782","Kiełki fasoli",76,"TRUE"
"Hulk 83224","Sól morska",99,"FALSE"
"Obelix 57869","Małe marchewki",83,"TRUE"
"Harry Potter 897","Chayote",57,"TRUE"
"Phoenix 119624","Chińska kapusta",53,"FALSE"
"Rogue 169843","Cykoria",81,"TRUE"
"Kermit the Frog 131681","Kukurydza",59,"FALSE"
"Domino 159994","Endywia",90,"TRUE"
"Peter Pan 46130","Zucchini",78,"TRUE"
"Winter Soldier 57175","Marchew",98,"TRUE"
"Hulk 8103","Papryczka chili",69,"TRUE"
"Drax 185944","Cebula dymka",102,"FALSE"
"Cable 44878","Groch cukrowy",64,"FALSE"
"Charlie Chaplin 6794","Sorrel",91,"FALSE"
"Magenta 48543","Chińska kapusta",80,"FALSE"
"Howard the Duck 99444","Sałata rzymska",48,"FALSE"
"Robert Lewandowski 40975","Papryka",61,"TRUE"
"Mystique 171576","Lufa",94,"TRUE"
"Human Torch 177416","Papryka żółta",81,"FALSE"
"Anna 86624","Fenkuł",77,"FALSE"
"Superman 162132","Szczypiorek",79,"FALSE"
"Falcon 167942","Sól morska",70,"TRUE"
"Sherlock Holmes 164626","Seler korzeniowy",89,"TRUE"
"Cable 54121","Pasternak",87,"TRUE"
"Magneto 5157","Cebula",72,"TRUE"
"Cezary Pazura 140483","Portulaka",80,"FALSE"
"Rogue 192789","Kale",64,"FALSE"
"Gandalf 33426","Liście mniszka",70,"FALSE"
"Jim Morrison 24173","Ogórek",67,"TRUE"
"Aladyn 40688","Korzeń taro",94,"FALSE"
"Psylocke 75452","Seler",82,"TRUE"
"Captain America 144521","Wodna cress",70,"TRUE"
"Elvis Presley 57560","Szparagi",75,"TRUE"
"Stan Laurel 72646","Cykoria",58,"FALSE"
"Sandy Cheeks 87348","Radicchio",53,"TRUE"
"Patrick Star 30181","Cebula",83,"FALSE"
"Magneto 92595","Pomidor",76,"FALSE"
"Mystique 14905","Fasola gołębia",95,"TRUE"
"Mufasa 192989","Kalafior",75,"TRUE"
"Drake 176737","Kale",75,"TRUE"
"Genie 21472","Cress",62,"TRUE"
"Kang the Conqueror 73662","Karczoch",63,"TRUE"
"Darth Maul 30217","Brokuł",71,"FALSE"
"Lady Deathstrike 161402","Kalarepa",100,"FALSE"
"Shrek 113835","Jarmuż",88,"TRUE"
"Elsa 22053","Marchew",42,"TRUE"
"Leonardo da Vinci 32532","Melon",87,"TRUE"
"Barack Obama 137250","Szparagi",52,"FALSE"
"Hulk 147043","Rabarbar",77,"FALSE"
"Legolas 160501","Cukier trzcinowy",65,"FALSE"
"Ursula 50321","Cykoria",82,"FALSE"
"Asterix 30635","Rzodkiew daikon",63,"TRUE"
"Darth Vader 145369","Mniszek lekarski",84,"FALSE"
"Leonardo da Vinci 74106","Banan",64,"TRUE"
"Apocalypse 50403","Wodna cress",73,"TRUE"
"Omega Red 120350","Sałata",68,"TRUE"
"SpongeBob SquarePants 143099","Jicama",79,"TRUE"
"Ghost Rider 79628","Trawa cytrynowa",69,"FALSE"
"Darth Vader 82723","Rabarbar",44,"FALSE"
"Luke Cage 162924","Fasolka szparagowa",81,"FALSE"
"Professor X 169749","Imbir",68,"TRUE"
"Ursula 3902","Czosnek",84,"TRUE"
"Kristoff 44437","Taro",59,"FALSE"
"Johnny Depp 183469","Chińska kapusta",90,"FALSE"
"SpongeBob SquarePants 76874","Szpinak",88,"TRUE"
"Ariel 20725","Cress",55,"FALSE"
"Jean Grey 69301","Fasola haricot vert",68,"FALSE"
"Harry Potter 71078","Koper",63,"TRUE"
"Magneto 150708","Jabłko",71,"FALSE"
"Joker 122615","Brzoskwinia",60,"TRUE"
"Spiderman 36624","Pędy groszku",93,"FALSE"
"Czerwony Kapturek 24866","Fasola adzuki",117,"TRUE"
"Helena 116503","Fenkuł",87,"TRUE"
"Franklin Richards 112922","Endywia",101,"TRUE"
"Nightcrawler 196752","Kukurydza",90,"TRUE"
"Hulk 172186","Burak",66,"FALSE"
"Johnny Depp 192073","Korzeń lotosu",75,"TRUE"
"Nightcrawler 56060","Kale",87,"TRUE"
"Boots 167558","Seler korzeniowy",91,"FALSE"
"Han Solo 153630","Papryka",96,"FALSE"
"Rogue 141932","Rukiew wodna",70,"FALSE"
"Colossus 197548","Burak",96,"FALSE"
"Galactus 112004","Fasola haricot vert",87,"FALSE"
"SpongeBob SquarePants 48705","Korzeń taro",97,"FALSE"
"Galactus 70702","Kapusta napa",70,"FALSE"
"Boots 140992","Koper",69,"FALSE"
"Drake 129190","Bakłażan",66,"FALSE"
"Kuba Wojewódzki 115180","Chayote",72,"FALSE"
"Lady Deathstrike 195332","Bataty",87,"TRUE"
"BB-8 64614","Seler korzeniowy",63,"FALSE"
"Valeria Richards 14881","Zucchini",78,"TRUE"
"Elsa 177481","Mniszek lekarski",85,"TRUE"
"Erik Killmonger 8018","Pędy groszku",75,"TRUE"
"Papa Smerf 43879","Papryczka chili",77,"TRUE"
"Helena 42993","Brukselka",68,"TRUE"
"Lara Croft 24037","Chrzan",64,"FALSE"
"Lara Croft 163652","Trawa cytrynowa",83,"TRUE"
"Papa Smerf 5067","Sałata",65,"FALSE"
"Quicksilver 54609","Tymianek",86,"FALSE"
"Thanos 24766","Banan",81,"FALSE"
"Asterix 173815","Bataty",77,"TRUE"
"Omega Red 134380","Kalarepa",82,"TRUE"
"Snoop Dogg 170738","Kale",78,"FALSE"
"Koziołek Matołek 60242","Rukola",49,"FALSE"
"Walt Disney 46351","Endywia",48,"TRUE"
"Mr. Fantastic 115628","Seler",92,"FALSE"
"Kuba Wojewódzki 106711","Ogórek melona",66,"FALSE"
"Twjózek 136972","Banan",45,"FALSE"
"Lara Croft 13867","Cebula dymka",77,"FALSE"
"Rapunzel 48445","Papryka",69,"FALSE"
"Scar 155618","Karczoch",92,"FALSE"
"Captain America 52017","Cukinia",67,"TRUE"
"Tommy Pickles 77776","Zucchini",66,"TRUE"
"Quicksilver 93964","Groch cukrowy",89,"TRUE"
"Franklin Richards 147366","Czosnek",53,"TRUE"
"Vision 136808","Jarmuż",78,"FALSE"
"Valeria Richards 18113","Sałata",79,"FALSE"
"Deadpool 5239","Chińska kapusta",56,"TRUE"
"Doctor Strange 33858","Kolendra",68,"FALSE"
"Valeria Richards 133442","Kard",62,"TRUE"
"Wasp 37183","Wodna cress",70,"TRUE"
"Alicja z Krainy Czarów 3606","Cukier trzcinowy",59,"FALSE"
"Laa-Laa 77709","Brokuł",65,"FALSE"
"Harry Potter 199810","Kalafior",46,"TRUE"
"Simba 62596","Endywia",96,"TRUE"
"Steve 101268","Brukselka",85,"FALSE"
"Blues Clues 138027","Słodka kukurydza",54,"TRUE"
"Peter Pan 73369","Kapusta musztardowa",89,"FALSE"
"Czerwony Kapturek 111368","Rzepak",85,"FALSE"
"Leonardo da Vinci 149448","Bataty",68,"TRUE"
"Jean Grey 32719","Fasola haricot vert",69,"TRUE"
"Ursula 146306","Fasola żuraw",69,"FALSE"
"Robin Hood 24405","Brzoskwinia",62,"TRUE"
"Mufasa 381","Papryka zielona",93,"FALSE"
"Aragorn 129741","Fasola gołębia",107,"FALSE"
"Daffy Duck 147092","Cukier trzcinowy",78,"TRUE"
"Dr Watson 133512","Kapusta napa",77,"FALSE"
"Pablo Escabar 18153","Pędy groszku",69,"FALSE"
"Magneto 125751","Endywia belgijska",88,"TRUE"
"Tommy Pickles 83355","Papryka czerwona",74,"FALSE"
"Iron Man 114776","Szczypiorek",65,"FALSE"
"Sven 175401","Pędy bambusa",82,"TRUE"
"Eminem 980","Papryczka chili",49,"TRUE"
"War Machine 95264","Liście mniszka",74,"FALSE"
"Shrek 165419","Korzeń lotosu",84,"TRUE"
"Johnny Depp 67521","Radicchio",85,"TRUE"
"Bugs Bunny 156851","Mâche",64,"TRUE"
"Czerwony Kapturek 191305","Pietruszka",66,"TRUE"
"Mystique 119787","Rzodkiew",89,"TRUE"
"Okoye 198499","Fasola zwykła",85,"TRUE"
"Sauron 129486","Brokuł",85,"TRUE"
"Human Torch 79991","Trawa cytrynowa",72,"TRUE"
"Drake 64446","Cress",61,"TRUE"
"Jessica Jones 184803","Papryka",69,"FALSE"
"Jim Morrison 45337","Grzyb",52,"FALSE"
"Elsa 91923","Mâche",75,"FALSE"
"Iron Fist 141061","Portulaka",74,"FALSE"
"Johnny Depp 55222","Szparagi",72,"TRUE"
"Poseidon 92494","Mâche",66,"FALSE"
"Ultron 65548","Chińska kapusta",103,"FALSE"
"Daffy Duck 76943","Pędy bambusa",70,"FALSE"
"Robert Lewandowski 71001","Cukinia",87,"TRUE"
"Blues Clues 105746","Rukola",77,"FALSE"
"Sauron 89162","Sałata",80,"FALSE"
"Charlie Chaplin 32003","Karczoch",67,"FALSE"
"Xavier 80428","Jicama",81,"FALSE"
"Bishop 62490","Orzech wodny",53,"TRUE"
"Helena 27445","Burak",71,"FALSE"
"Leia Organa 143566","Cukinia",85,"TRUE"
"Oliver Hardy 142161","Ogórek melona",82,"TRUE"
"Superman 143675","Sałata rzymska",65,"FALSE"
"Erik Killmonger 101855","Kapusta",53,"TRUE"
"Kermit the Frog 18332","Małe marchewki",102,"TRUE"
"Shrek 79206","Kiełki fasoli",99,"TRUE"
"Bruce Lee 42070","Jicama",77,"TRUE"
"Aladyn 96625","Wodna cress",72,"FALSE"
"Cyclops 130901","Fasola zwykła",63,"FALSE"
"Professor X 133392","Chińska kapusta",83,"FALSE"
"Marta Żmuda-Trzebiatowska 29382","Por",84,"FALSE"
"Nick Fury 186176","Chrzan",82,"FALSE"
"Gamora 42094","Pietruszka",73,"TRUE"
"Hades 149724","Kard",96,"TRUE"
"Iron Fist 78587","Mâche",87,"FALSE"
"Marilyn Monroe 181744","Sól morska",91,"TRUE"
"Skeeter Valentine 142697","Mniszek lekarski",82,"FALSE"
"Scarlet Witch 59103","Groch cukrowy",67,"FALSE"
"Struś Pędziwiatr 151736","Jarmuż",78,"TRUE"
"Kang the Conqueror 169079","Papryka",54,"TRUE"
"War Machine 40931","Mniszek lekarski",73,"FALSE"
"Cable 177706","Seler korzeniowy",66,"FALSE"
"Doctor Strange 113365","Bakłażan",71,"FALSE"
"The Punisher 126454","Cress",96,"TRUE"
"Papa Smerf 69147","Fasolka szparagowa",82,"TRUE"
"Wolverine 71943","Jarmuż",80,"TRUE"
"Ghost Rider 152032","Pędy groszku",94,"FALSE"
"C-3PO 23582","Słodka kukurydza",73,"FALSE"
"Genie 38731","Ogórek melona",69,"TRUE"
"Sabretooth 47584","Fasola adzuki",80,"FALSE"
"Elsa 83014","Bataty",61,"FALSE"
"Blues Clues 8959","Karczoch",85,"TRUE"
"Thanos 37021","Jarmuż",74,"TRUE"
"Baron Zemo 144966","Bakłażan",87,"TRUE"
"Thanos 32630","Cukier trzcinowy",70,"TRUE"
"Johnny Depp 101412","Jabłko",58,"FALSE"
"Adam Mickiewicz 168959","Fasola mung",100,"FALSE"
"Vision 50674","Kard",77,"TRUE"
"Ultron 18331","Małe marchewki",84,"TRUE"
"Phoenix 53322","Małe marchewki",64,"FALSE"
"Shuri 73417","Cykoria",76,"TRUE"
"Dora the Explorer 52120","Karczoch",84,"TRUE"
"Cable 178439","Mâche",96,"TRUE"
"Cable 55934","Cukier trzcinowy",62,"TRUE"
"Superman 126027","Kiełki fasoli",94,"TRUE"
"Snoop Dogg 105550","Zucchini",72,"TRUE"
"Johnny Depp 79178","Endywia",60,"TRUE"
"Genie 190238","Bakłażan",85,"FALSE"
"Olaf 4043","Fasola żuraw",76,"FALSE"
"Myszka Miki 18368","Fasola haricot vert",86,"TRUE"
"Apocalypse 25983","Wodna cress",92,"FALSE"
"Bruce Lee 25351","Czosnek",54,"FALSE"
"Colossus 178132","Słodka kukurydza",90,"TRUE"
"Zeus 31023","Cykoria",97,"FALSE"
"Doug Funnie 100514","Fasola adzuki",67,"FALSE"
"Adam Mickiewicz 4049","Ziemniak",79,"FALSE"
"Czerwony Kapturek 144637","Arbuz",84,"FALSE"
"Cezary Pazura 188300","Kukurydza",37,"TRUE"
"Galactus 123452","Zucchini",64,"TRUE"
"Harry Potter 33907","Mniszek lekarski",71,"FALSE"
"Peter Pan 77293","Brokuł",70,"TRUE"
"Lara Croft 8842","Pędy bambusa",67,"TRUE"
"Blade 8124","Małe marchewki",109,"TRUE"
"Daredevil 186059","Szczypiorek",71,"TRUE"
"Sauron 184137","Karczoch",88,"FALSE"
"Asterix 3194","Pietruszka",81,"TRUE"
"Magneto 13634","Cebula",60,"TRUE"
"Myszka Miki 18808","Szparagi",82,"TRUE"
"Luke Cage 6250","Ogórek melona",73,"FALSE"
"The Thing 26663","Fasola Lima",71,"TRUE"
"Elvis Presley 102767","Cebula",78,"FALSE"
"Jar Jar Binks 146285","Szczypiorek",79,"TRUE"
"Leia Organa 7024","Bazylia tajska",71,"FALSE"
"Superman 198993","Wodna cress",69,"TRUE"
"Captain America 49124","Kapusta",83,"FALSE"
"Storm 120751","Szpinak",74,"FALSE"
"Dora the Explorer 7639","Sorrel",74,"TRUE"
"Oliver Hardy 63463","Bazylia tajska",82,"TRUE"
"Struś Pędziwiatr 189729","Czosnek",93,"TRUE"
"Mickey Mouse 175620","Kalarepa",61,"TRUE"
"Elvis Presley 145402","Arbuz",86,"TRUE"
"Victor Von Doom 32631","Fasola Lima",55,"FALSE"
"Elsa 19277","Brukselka",89,"TRUE"
"Thanos 126815","Imbir",69,"FALSE"
"Diego 171305","Cukier trzcinowy",91,"FALSE"
"Rogue 139387","Banan",97,"FALSE"
"Madonna 8835","Papryka czerwona",88,"FALSE"
"Thanos 21149","Kalafior",83,"TRUE"
"Gandalf 29813","Fasola gołębia",85,"FALSE"
"Iron Fist 151350","Fenkuł",96,"FALSE"
"Bishop 185365","Kard",91,"TRUE"
"Chuckie Finster 139458","Mniszek lekarski",83,"TRUE"
"Squidward Tentacles 171884","Taro",70,"TRUE"
"Iron Man 158992","Papryka czerwona",80,"TRUE"
"R2-D2 37184","Brukselka",71,"TRUE"
"Cezary Pazura 95668","Wodna cress",57,"FALSE"
"Magneto 109354","Kiełki fasoli",67,"FALSE"
"Ursula 138911","Bazylia tajska",66,"TRUE"
"War Machine 83442","Kiełki fasoli",75,"FALSE"
"Hawkeye 40049","Burak liściowy",101,"TRUE"
"Kojot Wile E. 167080","Fasola Lima",88,"FALSE"
"Babcia Ela 87815","Cykoria",79,"TRUE"
"Juggernaut 46134","Fasola Lima",87,"FALSE"
"Marta Żmuda-Trzebiatowska 48269","Sałata",65,"TRUE"
"Human Torch 116478","Fasola mung",75,"TRUE"
"Simba 68151","Trawa cytrynowa",77,"FALSE"
"Stan Laurel 163718","Zucchini",85,"TRUE"
"Wasp 87323","Kapusta musztardowa",69,"FALSE"
"Po 139055","Zucchini",92,"FALSE"
"Charlie Chaplin 94581","Pędy groszku",85,"FALSE"
"Nick Fury 68572","Tymianek",69,"TRUE"
"Captain America 140097","Cress",72,"FALSE"
"Mystique 29041","Kapusta musztardowa",59,"FALSE"
"Colossus 41187","Wodna cress",74,"TRUE"
"Silver Surfer 94453","Pomidor",86,"TRUE"
"Thor 113450","Rukola",83,"FALSE"
"Bilbo Baggins 164520","Fasola żuraw",71,"FALSE"
"BB-8 54108","Seler",84,"FALSE"
"Colossus 143081","Cykoria",91,"FALSE"
"Dr Watson 139355","Jabłko",69,"FALSE"
"Quicksilver 187387","Rzodkiew",87,"TRUE"
"Taskmaster 146919","Endywia belgijska",62,"TRUE"
"Joe 198221","Pędy groszku",90,"TRUE"
"Franklin Richards 43373","Kard",61,"FALSE"
"Mystique 43188","Cebula dymka",61,"FALSE"
"Sabretooth 198508","Fasola haricot vert",70,"TRUE"
"Frodo Baggins 120622","Rzodkiew",56,"FALSE"
"Sabretooth 170923","Por",92,"TRUE"
"Hawkeye 116621","Groch czarnooki",89,"FALSE"
"Goofy 75107","Rukola",54,"FALSE"
"Winnie the Pooh 97258","Cukinia",83,"TRUE"
"Bob Budowniczy 76909","Groch czarnooki",67,"TRUE"
"Phoenix 198208","Korzeń taro",100,"FALSE"
"Okoye 119524","Cukier trzcinowy",88,"FALSE"
"Helena 157082","Kard",91,"TRUE"
"Black Widow 22902","Grzyb",69,"TRUE"
"Helena 124414","Portulaka",84,"TRUE"
"Sven 46949","Cykoria",86,"TRUE"
"Ursula 111472","Rukiew wodna",63,"FALSE"
"The Thing 189012","Groch cukrowy",75,"TRUE"
"Mickey Mouse 82703","Rabarbar",82,"TRUE"
"Luke Cage 65341","Chińska kapusta",57,"TRUE"
"Blade 112117","Chińska kapusta",90,"TRUE"
"Alicja z Krainy Czarów 81959","Sałata rzymska",87,"TRUE"
"Jasmine 138401","Kalafior",71,"TRUE"
"Legolas 28815","Zucchini",80,"FALSE"
"Lady Deathstrike 136147","Arbuz",65,"TRUE"
"Cable 9775","Ziemniak",82,"TRUE"
"Doctor Doom 179547","Bataty",54,"TRUE"
"Eminem 52273","Trawa cytrynowa",81,"FALSE"
"Sandy Cheeks 29066","Kalarepa",75,"FALSE"
"War Machine 2387","Ogórek",66,"TRUE"
"Galactus 72138","Żółta cukinia",79,"TRUE"
"Mystique 12629","Sorrel",68,"TRUE"
"Joker 180243","Trawa cytrynowa",61,"TRUE"
"Jafar 157573","Zucchini",84,"FALSE"
"Barack Obama 125571","Karczoch",66,"TRUE"
"Papa Smerf 12553","Fasola żuraw",61,"TRUE"
"Franklin Richards 169757","Imbir",98,"TRUE"
"Legolas 156740","Imbir",84,"TRUE"
"Jasmine 96551","Żółta cukinia",75,"TRUE"
"Tommy Pickles 71195","Mâche",85,"FALSE"
"Kojot Wile E. 37712","Ogórek melona",78,"TRUE"
"Sven 77854","Kapusta musztardowa",80,"FALSE"
"Gamora 122357","Pietruszka",62,"FALSE"
"Skeeter Valentine 176077","Szparagi",79,"FALSE"
"Mr. Krabs 71866","Bakłażan",59,"FALSE"
"Anna 102033","Arbuz",84,"FALSE"
"Kojot Wile E. 34814","Fasola mung",72,"TRUE"
"Mickey Mouse 97249","Fasola zwykła",79,"FALSE"
"Jafar 97708","Fenkuł",64,"TRUE"
"Chuckie Finster 54593","Sorrel",69,"TRUE"
"Nick Fury 14069","Sałata",91,"TRUE"
"Barack Obama 104738","Brukselka",68,"FALSE"
"Gandalf 110380","Słodka kukurydza",74,"FALSE"
"Ghost Rider 164024","Sałata rzymska",76,"TRUE"
"Królewna Śnieżka 24319","Pietruszka",93,"TRUE"
"Jasmine 122192","Taro",73,"FALSE"
"Squidward Tentacles 160115","Dynia kabocha",95,"FALSE"
"Storm 43337","Kapusta",98,"FALSE"
"The Punisher 69070","Kapusta",42,"TRUE"
"Angelica Pickles 51867","Jicama",54,"FALSE"
"Scar 160786","Banan",120,"FALSE"
"Rapunzel 15615","Sorrel",57,"TRUE"
"Quicksilver 127176","Chrzan",69,"FALSE"
"Tinky Winky 118173","Chayote",62,"FALSE"
"Papa Smerf 169567","Cykoria",71,"TRUE"
"Legolas 7708","Radicchio",83,"FALSE"
"Myszka Miki 156647","Pasternak",71,"TRUE"
"Nick Fury 34088","Cykoria",84,"FALSE"
"Thanos 161910","Kolendra",52,"TRUE"
"Obelix 27387","Szpinak",67,"FALSE"
"Pablo Escabar 40667","Bakłażan",70,"FALSE"
"Joe 77107","Dynia kabocha",84,"FALSE"
"Madonna 174750","Orzech wodny",76,"FALSE"
"Madonna 92868","Portulaka",56,"FALSE"
"Marta Żmuda-Trzebiatowska 155620","Por",88,"TRUE"
"Johnny Depp 113084","Pomidor",63,"FALSE"
"Bilbo Baggins 145267","Chayote",60,"TRUE"
"Kuba Wojewódzki 66695","Ogórek",76,"FALSE"
"Koziołek Matołek 2726","Kale",88,"TRUE"
"Genie 68532","Dynia kabocha",83,"FALSE"
